Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
643;26168;"Computers and Composition";journal;"87554615";0,711;Q1;43;24;122;1023;288;117;2,20;42,63;60,00;1;4;United Kingdom;Western Europe;"Elsevier Ltd";"1983-2023";"Computer Science (miscellaneous) (Q1); Education (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
644;21101079108;"ACM Transactions on Computing for Healthcare";journal;"26378051, 26911957";0,710;Q2;16;48;62;3391;206;59;3,32;70,65;36,49;1;11;United States;Northern America;"Association for Computing Machinery (ACM)";"2020-2023";"Biomedical Engineering (Q2); Computer Science Applications (Q2); Health Informatics (Q2); Information Systems (Q2); Medicine (miscellaneous) (Q2); Software (Q2); Health Information Management (Q3)";"Computer Science; Engineering; Health Professions; Medicine"
645;21100301601;"ACM Transactions on Interactive Intelligent Systems";journal;"21606463, 21606455";0,710;Q2;45;35;90;2615;347;84;4,16;74,71;30,07;0;7;United States;Northern America;"Association for Computing Machinery (ACM)";"2011-2023";"Artificial Intelligence (Q2); Human-Computer Interaction (Q2)";"Computer Science"
646;21100356018;"Big Data Research";journal;"22145796";0,709;Q2;38;53;111;2650;468;106;4,19;50,00;29,08;1;16;United States;Northern America;"Elsevier Inc.";"2014-2023";"Computer Science Applications (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
647;21100900336;"ACM SIGBED Review";journal;"15513688";0,708;Q1;11;0;40;0;99;37;2,14;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"2018-2020";"Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering"
648;144936;"Information Systems and e-Business Management";journal;"16179846";0,708;Q2;47;32;78;2535;347;73;3,54;79,22;23,40;1;9;Germany;Western Europe;"Springer Verlag";"2005-2023";"Information Systems (Q2)";"Computer Science"
649;21100801727;"Digital Library Perspectives";journal;"20595816";0,707;Q2;27;36;91;1278;191;82;2,16;35,50;54,93;0;6;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2016-2023";"Education (Q1); Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
650;21100976153;"IEEE Transactions on Molecular, Biological, and Multi-Scale Communications";journal;"23327804";0,707;Q2;24;26;69;1253;163;66;2,48;48,19;17,05;0;6;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2023";"Bioengineering (Q2); Biotechnology (Q2); Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Modeling and Simulation (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Mathematics"
651;17569;"Wireless Networks";journal;"10220038, 15728196";0,706;Q2;102;334;1199;12456;4266;1188;3,71;37,29;29,37;1;83;Netherlands;Western Europe;"Springer Netherlands";"1995-2023";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Information Systems (Q2)";"Computer Science; Engineering"
652;145669;"Electronic Commerce Research";journal;"13895753";0,704;Q2;53;127;120;8427;645;117;5,14;66,35;36,59;2;32;Netherlands;Western Europe;"Kluwer Academic Publishers";"2001-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Human-Computer Interaction (Q2)";"Computer Science; Economics, Econometrics and Finance"
653;18078;"Robotica";journal;"02635747, 14698668";0,704;Q2;73;228;381;8840;1207;377;2,94;38,77;20,09;0;39;United Kingdom;Western Europe;"Cambridge University Press";"1983-2023";"Computational Mechanics (Q1); Mathematics (miscellaneous) (Q1); Mechanical Engineering (Q1); Rehabilitation (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Modeling and Simulation (Q2); Software (Q2)";"Computer Science; Engineering; Mathematics; Medicine"
654;144641;"Software and Systems Modeling";journal;"16191374, 16191366";0,704;Q2;59;107;305;6176;822;268;2,53;57,72;19,52;0;5;Germany;Western Europe;"Springer Verlag";"2005-2023";"Modeling and Simulation (Q2); Software (Q2)";"Computer Science; Mathematics"
655;21101017166;"KI - Kunstliche Intelligenz";journal;"16101987, 09331875";0,703;Q2;30;37;151;1207;399;113;2,98;32,62;35,71;0;2;Switzerland;Western Europe;"Springer International Publishing";"2010-2023";"Artificial Intelligence (Q2)";"Computer Science"
656;19714;"Journal of Organizational Computing and Electronic Commerce";journal;"15327744, 10919392";0,700;Q2;48;11;56;1023;198;56;3,13;93,00;37,50;0;2;United States;Northern America;"Taylor and Francis Ltd.";"1996-2023";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Information Systems (Q2)";"Computer Science"
657;21101037157;"Visual Computing for Industry, Biomedicine, and Art";journal;"25244442, 2096496X";0,700;Q1;19;30;80;1188;349;78;2,93;39,60;34,51;0;8;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2018-2023";"Computer Science (miscellaneous) (Q1); Visual Arts and Performing Arts (Q1); Computer Graphics and Computer-Aided Design (Q2); Computer Vision and Pattern Recognition (Q2); Medicine (miscellaneous) (Q2); Software (Q2)";"Arts and Humanities; Computer Science; Medicine"
